RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,11,9,2,
2,G0rger,11,9,2,
3,沈逍遥(Q群746497406),11,9,2,
4,Beesman,11,9,2,
5,Xilu,11,9,2,
6,BlockOG,11,9,2,
7,Yunfeng,11,9,2,
8,Rartrin,13,9,4,
9,seconddifferential,18,14,4,
10,Endershadow,18,14,4,
11,danielrab,18,14,4,
12,san_skylak,18,14,4,
13,Dermenslof,18,14,4,
14,Nari,18,14,4,
15,PotatoLoRD,18,14,4,
16,hirosem,18,14,4,
17,Heistenberg99,18,14,4,
18,iota,18,14,4,
19,banzif,18,14,4,
20,Jay,18,14,4,
21,alexanderpas,18,14,4,
22,Gamerboy166,18,14,4,
23,tahgtahv,18,14,4,
24,Pine,18,14,4,
25,altrag,18,14,4,
26,CitrusMarmelade,18,14,4,
27,Itehnological,18,14,4,
28,YukiYasai,18,14,4,
29,WhIrLwinD356,18,14,4,
30,#TSwagg,18,14,4,
31,Zaxabock,18,14,4,
32,agrimes,18,14,4,
33,VaporGame,18,14,4,
34,LMD|Cavy,18,14,4,
35,al13n,18,14,4,
36,MegaIng,18,14,4,
37,SunCat,18,14,4,
38,[CrAzY]WC,18,14,4,
39,Errs Anyway,18,14,4,
40,bmerry,18,14,4,
41,thompsotd,18,14,4,
42,PythonPlusPlus,18,14,4,
43,Arnavion,18,14,4,
44,FireStorm,18,14,4,
45,Carl-ified,18,14,4,
46,Kargaros,18,14,4,
47,Brawndo,18,14,4,
48,Moonj64,18,14,4,
49,Skepfyr,18,14,4,
50,ovonlogstarn,18,14,4,
51,sleepprogger,18,14,4,
52,Sagoot,18,14,4,
53,Legy,18,14,4,
54,slowwalker,18,14,4,
55,MTReis86,18,14,4,
56,Pr0st,18,14,4,
57,almafa64,18,14,4,
58,Jist,18,14,4,
59,RealOfficialTurf,18,14,4,
60,Mockingbird,18,14,4,
61,DarthOrdo,18,14,4,
62,schadomi,18,14,4,
63,Metricor,18,14,4,
64,simonsays095,18,14,4,
65,pleegwat,18,14,4,
66,Segal,18,14,4,
67,m_ornj,18,14,4,
68,GinjaNinja32,18,14,4,
69,El Presidente,18,14,4,
